ID,Member,Contact,Email,Social Security,Role
785,Tania Miles,41632256,Tania@example.com,S53040944A,Member
680,Dhruv Dickens,84395718,Dhruv@example.com,S58539397C,Member
993,Arda Parra,59936914,Arda@example.com,S68979217B,Member
895,Hadi Daly,12714681,Hadi@example.com,S34991100E,Member
560,Theresa Rojas,35325898,Theresa@example.com,S68295110D,Member
959,Sohail Craig,75299888,Sohail@example.com,S97787470G,AV Engineer
746,Cherry Odom,88132154,Cherry@example.com,S75533332F,Member
708,Fern Fernandez,20444534,Fern@example.com,S37097333H,Member
811,Maeve Bowden,95863105,Maeve@example.com,S89410452Q,Member
800,Nyah Redmond,67259289,Nyah@example.com,S14323659A,Team Lead
591,Kaira Palmer,98830618,Kaira@example.com,S20389826S,Member
765,Jacob Powell,18694110,Jacob@example.com,S56293535D,Member
545,Fletcher Fields,43116152,Fletcher@example.com,S52911734F,Member
398,Harmony Sparks,84194770,Harmony@example.com,S48989164G,Member
743,Kier Silva,24870812,Kier@example.com,S53232745G,Member
316,Cairon Whittaker,52550921,Cairon@example.com,S69979797H,Member
887,Aman Hagan,43991285,Aman@example.com,S46407406H,Member
465,Sienna Mccarty,96483545,Sienna@example.com,S53724377J,Member
446,Velma Osborn,97925065,Velma@example.com,S43560471Z,Member
777,Shah Richards,65639167,Shah@example.com,S93628703C,Member
16,Frederick Roman,89934413,Frederick@example.com,S60096871X,Head of Public Relations
39,Valentino Sheldon,54613450,Valentino@example.com,S63702722S,Event Manager
44,Chris Crossley,63080821,Chris@example.com,S17391132E,Event Manager
686,Krish Hinton,55322212,Krish@example.com,S43500310D,Member
53,Zaine Irwin,97306845,Zaine@example.com,S78000965F,Chairman
450,Aisling York,62451838,Aisling@example.com,S36217177W,Member
6,Emile Guerra,94090287,Emile@example.com,S62016457G,Treasurer
128,Duncan Mckay,15270080,Duncan@example.com,S32733884Q,Member
997,Justine Manning,72931971,Justine@example.com,S24300468W,Member
148,Terri Larson,15982202,Terri@example.com,S80225471E,Member
453,Storm Holt,53002779,Storm@example.com,S91711008G,Member
114,Hafsah Humphries,14424179,Hafsah@example.com,S50017948F,speaker
529,Amiyah Wilcox,97954570,Amiyah@example.com,S78579929H,Member
971,Siraj Luna,69837918,Siraj@example.com,S53241238C,Team Lead
490,Alice Holland,57981403,Alice@example.com,S41436463S,Member
960,Nikolas Shah,29574758,Nikolas@example.com,S59420177E,Member
530,Alyssia Maxwell,93110998,Alyssia@example.com,S90075147D,Team Lead
282,Kishan Thompson,22107566,Kishan@example.com,S57387656G,Member
166,Irene Roy,55779124,Irene@example.com,S94485041H,Member
627,Mai Hewitt,81741919,Mai@example.com,S41131215C,speaker
463,Hiba Bate,22694301,Hiba@example.com,S58834858S,Member
348,Kacy Davis,29465643,Kacy@example.com,S93711982G,Member
555,Nicolle Cochran,69387850,Nicolle@example.com,S25278223E,Member
470,Ifan Benitez,87563514,Ifan@example.com,S48208235F,Member
356,Farhana Zimmerman,91709566,Farhana@example.com,S50256686G,Member
226,Lillie-May Gill,69335733,Lillie-May@example.com,S56704880E,Member
25,Ashwin Bellamy,32413855,Ashwin@example.com,S72199708D,Vice-Chairman
741,Waleed Joseph,17262553,Waleed@example.com,S38698506S,Member
615,Donald Osborne,20916002,Donald@example.com,S46344166G,admin
203,Cari Alston,76994893,Cari@example.com,S59159707F,Member
102,Shelbie Joyner,26961705,Shelbie@example.com,S50756674H,Member
747,Percy Calderon,39793559,Percy@example.com,S42384079S,Member
469,Dhruv Devine,47606820,Dhruv@example.com,S80090828E,Internal Audit Team Lead
864,Alfie-James Hassan,19287841,Alfie-James@example.com,S49557000F,Member
719,Martyn Sanderson,41377455,Martyn@example.com,S59041263I,Member
967,Jamie Farmer,68806743,Jamie@example.com,S14755481K,Member
285,Timur Lowe,90075663,Timur@example.com,S39246945U,Member
380,Karina Sparrow,75038336,Karina@example.com,S24792328H,Member
96,Seb Anthony,77692340,Seb@example.com,S58634437H,Team Lead
63,Payton Dillard,54667573,Payton@example.com,S88263530F,Member
155,Kaleem Lam,38722838,Kaleem@example.com,S36433529H,prof
75,Sayed Beard,93033469,Sayed@example.com,S50469508C,admin
797,Jesus Rios,37756729,Jesus@example.com,S57557166S,Member
153,Piper Lutz,17349132,Piper@example.com,S63296803E,Member
987,Adelle Sanchez,86209472,Adelle@example.com,S36572409D,Member
975,Henry Roberson,99973765,Henry@example.com,S34182303G,Member
726,Rudy Rice,46589783,Rudy@example.com,S25059816H,Member
495,Rodney Mcintosh,27562313,Rodney@example.com,S98542821C,Member
414,Mildred Cresswell,89541720,Mildred@example.com,S60989295S,Member
265,Celine Hill,50713169,Celine@example.com,S99731524G,Member
217,Nabeel Stein,42831169,Nabeel@example.com,S73030843E,Member
600,Tayyib Proctor,33486882,Tayyib@example.com,S29771527F,professor
518,Teejay Cabrera,44708664,Teejay@example.com,S71872161G,Member
809,Nabiha Wiley,18355859,Nabiha@example.com,S59952548G,Member
738,Madison Madden,54938267,Madison@example.com,S80669016F,alumni
966,Elif Sampson,54991509,Elif@example.com,S16813490H,Team Lead
657,Shanelle Garcia,58457413,Shanelle@example.com,S82341956S,Member
201,Alivia Fuentes,45123354,Alivia@example.com,S66623879E,Member
736,Yaseen Stott,42504208,Yaseen@example.com,S85889641F,Member
911,Zane Rosas,18457305,Zane@example.com,S15916908I,Member
510,Barbara Flynn,56864976,Barbara@example.com,S92151201K,Member
225,Janet Mann,18811670,Janet@example.com,S43727277U,Member
367,Edna Southern,55525751,Edna@example.com,S85896502H,Member
642,Ebony Bellamy,94588310,Ebony@example.com,S62675367H,Member
976,Siyana Crane,43038980,Siyana@example.com,S92309248C,speaker
30,Lucia Galvan,26491941,Lucia@example.com,S78944698B,Member
275,Daniele House,25619661,Daniele@example.com,S61545571E,Member
330,Amanah Wormald,24146782,Amanah@example.com,S54496655D,Member
51,Ahmet Clayton,28774043,Ahmet@example.com,S18169803G,Member
973,Humzah Oconnell,13056807,Humzah@example.com,S14424551F,Legal Team Lead
942,Evelyn Diaz,98213577,Evelyn@example.com,S26703650H,Member
35,Lyndon Quintero,95675715,Lyndon@example.com,S27945662Q,Member
3,Mary Leblanc,12824994,Mary@example.com,S29355731A,Member
949,Isla-Mae Oneal,12596315,Isla-Mae@example.com,S97320122S,Member
857,Areeb Owens,30513526,Areeb@example.com,S28974480D,Member
790,Armani Puckett,49850449,Armani@example.com,S67377131F,Member
937,Elina Carrillo,78081057,Elina@example.com,S11717337G,Team Lead
724,Virgil Johnson,32233230,Virgil@example.com,S22908556G,Member
27,Humairaa Wheeler,13103223,Humairaa@example.com,S28630283H,Member
939,Shakir Key,57207760,Shakir@example.com,S31412213H,Member
